ticket_id,created_at,customer_name,customer_segment,monthly_revenue_usd,country,product,ticket_subject,ticket_body,status,resolution_time_hours,csat_score
TKT-2001,2026-07-02 13:10,Cobalt Robotics,Mid-Market,10100,Canada,Account,User permissions,How do I give our bookkeeper view-only access without letting them send payments?,resolved,2.6,5
TKT-2095,2026-07-03 10:55,Crescent Apparel,SMB,890,Canada,FX,FX availability,Can we convert CAD to USD outside regular business hours?,resolved,11.1,3
TKT-2007,2026-07-03 16:40,Driftwood Design,SMB,600,United States,Cards,New employee card,We hired someone new. What is the fastest way to issue them a virtual card?,resolved,1.7,5
TKT-2035,2026-07-04 10:00,TrueNorth Travel,Mid-Market,5200,Canada,Payments,Vendor payment,Can I schedule a supplier payment for next Friday?,resolved,4.3,4
TKT-2013,2026-07-04 12:00,Maple Ridge Imports,Mid-Market,4500,Canada,Cards,Receipt question,Is there a way to attach receipts to card transactions in the dashboard?,resolved,8.1,3
TKT-2045,2026-07-05 10:50,MetricFox,SMB,1250,United States,Payments,Transfer ETA,We sent a domestic payment this morning. What is the normal processing time?,resolved,8.7,3
TKT-2032,2026-07-05 17:10,TrueNorth Travel,Mid-Market,5200,Canada,Cards,Receipt question,Is there a way to attach receipts to card transactions in the dashboard?,resolved,3.1,5
TKT-2099,2026-07-06 12:25,KiteWorks Studio,SMB,690,Canada,Cards,New employee card,We hired someone new. What is the fastest way to issue them a virtual card?,resolved,7.8,5
TKT-2038,2026-07-07 09:50,Mosaic Dental,SMB,850,Canada,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,10.0,2
TKT-2006,2026-07-07 10:30,Beacon Legal,SMB,980,Canada,Cards,Receipt question,Is there a way to attach receipts to card transactions in the dashboard?,resolved,1.4,5
TKT-2034,2026-07-07 15:20,Cedar & Co,SMB,420,Canada,Account,User permissions,How do I give our bookkeeper view-only access without letting them send payments?,resolved,4.5,5
TKT-2020,2026-07-08 17:20,Maple Ridge Imports,Mid-Market,4500,Canada,Payments,Vendor payment,Can I schedule a supplier payment for next Friday?,resolved,7.8,3
TKT-2033,2026-07-09 16:10,Cedar & Co,SMB,420,Canada,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,8.0,3
TKT-2094,2026-07-11 11:15,Driftwood Design,SMB,600,United States,Payments,Vendor payment,Can I schedule a supplier payment for next Friday?,resolved,11.7,2
TKT-2040,2026-07-11 15:00,Crescent Apparel,SMB,890,Canada,Account,Beneficiary question,Can I save a beneficiary for future payments or do I need to add the details each time?,resolved,9.9,3
TKT-2005,2026-07-11 15:20,Copperline Construction,Mid-Market,6400,Canada,Account,Beneficiary question,Can I save a beneficiary for future payments or do I need to add the details each time?,resolved,3.1,4
TKT-2039,2026-07-11 15:30,MetricFox,SMB,1250,United States,Payments,Payment confirmation,Can you send me proof that the payment was completed? Our vendor is asking for it.,resolved,5.1,5
TKT-2087,2026-07-12 09:40,Cedar & Co,SMB,420,Canada,Account,Verification still pending,We uploaded the requested business documents four days ago. The dashboard still says verification pending.,resolved,33.2,1
TKT-2028,2026-07-13 13:30,Cedar & Co,SMB,420,Canada,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,10.0,4
TKT-2014,2026-07-14 14:10,Wavefront Media,SMB,1650,United States,Account,User permissions,How do I give our bookkeeper view-only access without letting them send payments?,resolved,6.7,5
TKT-2009,2026-07-15 13:00,Harbor & Pine,SMB,780,Canada,Account,Bank details,Where do I find our USD account details to send to a customer?,resolved,8.6,2
TKT-2003,2026-07-15 17:40,MetricFox,SMB,1250,United States,Payments,Payment confirmation,Can you send me proof that the payment was completed? Our vendor is asking for it.,resolved,0.8,4
TKT-2046,2026-07-16 09:40,BrightPath Health,Mid-Market,5400,Canada,Payments,Cancel transfer,A vendor gave us the wrong account number. Can this payment still be cancelled?,resolved,1.3,5
TKT-2098,2026-07-16 11:05,Bluebird Retail,SMB,1120,Canada,Cards,New employee card,We hired someone new. What is the fastest way to issue them a virtual card?,resolved,8.1,3
TKT-2036,2026-07-16 12:10,Copperline Construction,Mid-Market,6400,Canada,Account,User permissions,How do I give our bookkeeper view-only access without letting them send payments?,resolved,5.6,4
TKT-2088,2026-07-17 10:40,Bluebird Retail,SMB,1120,Canada,Payments,Vendor payment returned,A supplier payment was returned but we cannot tell why. Can you explain the return reason?,resolved,52.9,2
TKT-2096,2026-07-17 12:15,Copperline Construction,Mid-Market,6400,Canada,Account,Bank details,Where do I find our USD account details to send to a customer?,resolved,9.5,2
TKT-2048,2026-07-17 15:10,KiteWorks Studio,SMB,690,Canada,Payments,Payment confirmation,Can you send me proof that the payment was completed? Our vendor is asking for it.,resolved,6.9,4
TKT-2016,2026-07-17 15:40,Lumen Events,SMB,510,Canada,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,4.3,4
TKT-2022,2026-07-17 17:10,Crescent Apparel,SMB,890,Canada,Payments,Vendor payment,Can I schedule a supplier payment for next Friday?,resolved,5.3,3
TKT-2037,2026-07-18 16:10,NovaFleet,Mid-Market,9200,United States,Payments,Transfer ETA,We sent a domestic payment this morning. What is the normal processing time?,resolved,8.8,2
TKT-2008,2026-07-19 14:40,MetricFox,SMB,1250,United States,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,2.3,4
TKT-2041,2026-07-19 15:50,Arcadia Foods,Mid-Market,6100,United States,Account,Statement download,Where can I download last month's account statement as a PDF?,resolved,9.6,4
TKT-2049,2026-07-20 10:00,Northstar Logistics,Mid-Market,6200,Canada,FX,Exchange rate,The USD rate in the app is noticeably worse than what I see online. Can someone explain the difference?,resolved,20.2,1
TKT-2023,2026-07-20 17:40,TrueNorth Travel,Mid-Market,5200,Canada,Account,Bank details,Where do I find our USD account details to send to a customer?,resolved,2.4,5
TKT-2050,2026-07-22 11:00,MetricFox,SMB,1250,United States,FX,Exchange rate,We converted about $75k CAD to USD and the rate looks expensive. What spread are we paying?,resolved,20.2,1
TKT-2089,2026-07-22 11:40,Lumen Events,SMB,510,Canada,Cards,Replacement card,My replacement card was supposed to arrive last week. Tracking has not updated.,resolved,54.5,1
TKT-2100,2026-07-23 08:05,Maple Ridge Imports,Mid-Market,4500,Canada,Cards,Card limit,How do I change the monthly spend limit for one employee card?,resolved,10.6,3
TKT-2051,2026-07-24 12:00,Atlas Commerce,Mid-Market,7100,Canada,FX,FX rate question,Why is my exchange rate different from Google? I need to understand the fees before our next conversion.,resolved,21.7,2
TKT-2025,2026-07-24 13:10,Northstar Logistics,Mid-Market,6200,Canada,Account,User permissions,How do I give our bookkeeper view-only access without letting them send payments?,resolved,1.1,5
TKT-2012,2026-07-25 13:50,Atlas Commerce,Mid-Market,7100,Canada,Account,Statement download,Where can I download last month's account statement as a PDF?,resolved,7.0,2
TKT-2052,2026-07-26 13:00,Wavefront Media,SMB,1650,United States,FX,FX rate question,Our finance team thinks the FX pricing changed. The rate this week looks worse than last month.,resolved,28.8,1
TKT-2090,2026-07-27 12:40,Evergreen Property Group,Mid-Market,5700,Canada,Account,Statement mismatch,The opening balance on our July statement does not match the closing balance on June. Can someone review this?,resolved,48.1,1
TKT-2021,2026-07-28 11:30,BrightPath Health,Mid-Market,5400,Canada,Cards,New employee card,We hired someone new. What is the fastest way to issue them a virtual card?,resolved,0.5,5
TKT-2053,2026-07-28 14:00,Summit Supply,Mid-Market,8300,Canada,FX,Pricing question,We do a lot of USD purchases and the current conversion rate is becoming hard to justify. Can you review it?,resolved,18.7,2
TKT-2054,2026-07-30 10:00,NovaFleet,Mid-Market,9200,United States,FX,Exchange rate,The USD rate in the app is noticeably worse than what I see online. Can someone explain the difference?,resolved,27.0,2
